Complation_Id,text_description,issue_type,department,priority,status,subcategory,created_time,Created_date,closed_date,satisfaction_score,city,district,submission_channel
18,Road surface damaged at Yelahanka,roads,BBMP Roads,High,Closed,Pothole,0.1784375,08-2024-01,8/10/2024,1,Cairo,Heliopolis,Mobile App
19,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,High,Pending,Pothole,0.407534722,05-2025-23,,,Cairo,Heliopolis,Mobile App
20,Road surface damaged at Jayanagar,roads,BBMP Roads,Medium,In Progress,Pothole,0.549328704,02-2025-26,,,Giza,Haram,Call Center
21,Multiple cracks on road at Yelahanka,roads,BBMP Roads,Medium,Closed,Road Damage,0.571284722,11-2025-29,11/30/2025,5,Cairo,Nasr City,Mobile App
22,Road surface damaged at MG Road,roads,BBMP Roads,High,Closed,Pothole,0.417800926,08-2025-22,8/25/2025,4,Giza,Mohandessin,Call Center
23,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,Closed,Road Damage,0.139108796,01-2024-30,2/3/2024,4,Cairo,Heliopolis,Mobile App
24,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.700335648,07-2024-15,7/19/2024,4,Giza,Dokki,Call Center
25,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Closed,Road Damage,0.557037037,10-2023-07,10/15/2023,2,Cairo,Heliopolis,Call Center
26,Multiple cracks on road at MG Road,roads,BBMP Roads,Medium,Pending,Pothole,0.375046296,09-2023-17,,,Cairo,Heliopolis,Call Center
27,Road surface damaged at Yelahanka,roads,BBMP Roads,Medium,Closed,Road Damage,0.85837963,03-2024-25,3/28/2024,4,Giza,Haram,Website
28,Multiple cracks on road at BTM Layout,roads,BBMP Roads,High,Closed,Road Damage,0.46255787,11-2023-17,11/18/2023,5,Cairo,Heliopolis,Mobile App
29,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,Pending,Road Damage,0.915046296,10-2023-31,,,Giza,Haram,Call Center
30,Pothole near bus stop at MG Road,roads,BBMP Roads,High,Closed,Road Damage,0.092789352,12-2023-19,12/28/2023,1,Cairo,Maadi,Mobile App
31,Road surface damaged at Jayanagar,roads,BBMP Roads,High,Closed,Road Damage,0.678784722,08-2023-26,8/28/2023,5,Giza,Haram,Mobile App
32,Multiple cracks on road at Indiranagar,roads,BBMP Roads,High,Pending,Pothole,0.026689815,07-2025-09,,,Cairo,Heliopolis,Call Center
33,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Pending,Pothole,0.940092593,09-2025-20,,,Giza,Dokki,Website
34,Pothole near bus stop at Indiranagar,roads,BBMP Roads,Medium,Closed,Pothole,0.558576389,03-2024-04,3/8/2024,4,Cairo,Heliopolis,Call Center
35,Road surface damaged at Jayanagar,roads,BBMP Roads,Medium,Pending,Pothole,0.613125,04-2024-27,,,Cairo,Nasr City,Call Center
36,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,Medium,Closed,Road Damage,0.527534722,08-2024-21,8/24/2024,4,Cairo,Heliopolis,Call Center
37,Pothole near bus stop at MG Road,roads,BBMP Roads,Medium,In Progress,Road Damage,0.707685185,03-2024-04,,,Giza,Haram,Call Center
38,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,In Progress,Road Damage,0.234479167,08-2024-13,,,Cairo,Maadi,Mobile App
39,Road surface damaged at Jayanagar,roads,BBMP Roads,Medium,In Progress,Road Damage,0.9496875,04-2024-22,,,Giza,Dokki,Mobile App
40,Multiple cracks on road at Indiranagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.712083333,01-2025-20,1/25/2025,3,Giza,Mohandessin,Call Center
41,Road surface damaged at MG Road,roads,BBMP Roads,High,Pending,Road Damage,0.336122685,10-2025-23,,,Cairo,Nasr City,Call Center
42,Pothole near bus stop at MG Road,roads,BBMP Roads,Medium,In Progress,Road Damage,0.892673611,09-2025-23,,,Giza,Haram,Mobile App
43,Multiple cracks on road at Yelahanka,roads,BBMP Roads,High,Closed,Road Damage,0.072048611,05-2023-09,5/18/2023,1,Giza,Haram,Call Center
44,Road surface damaged at BTM Layout,roads,BBMP Roads,Medium,In Progress,Pothole,0.413703704,08-2025-07,,,Giza,Mohandessin,Call Center
45,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.178553241,05-2024-08,5/15/2024,2,Giza,Haram,Call Center
46,Pothole near bus stop at Whitefield,roads,BBMP Roads,Medium,Pending,Pothole,0.263865741,08-2025-21,,,Giza,Mohandessin,Mobile App
47,Multiple cracks on road at Whitefield,roads,BBMP Roads,High,Closed,Road Damage,0.318773148,10-2025-08,10/9/2025,5,Cairo,Nasr City,Mobile App
48,Pothole near bus stop at Koramangala,roads,BBMP Roads,High,Closed,Pothole,0.701064815,09-2025-24,9/26/2025,5,Cairo,Nasr City,Website
49,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Closed,Pothole,0.589178241,10-2025-30,10/31/2025,5,Cairo,Nasr City,Call Center
50,Pothole near bus stop at Yelahanka,roads,BBMP Roads,High,In Progress,Pothole,0.550497685,04-2024-03,,,Cairo,Nasr City,Call Center
51,Road surface damaged at Indiranagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.880787037,04-2023-17,4/20/2023,4,Giza,Mohandessin,Call Center
52,Large pothole near Indiranagar causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.583298611,12-2025-05,12/10/2025,3,Giza,Haram,Call Center
53,Road surface damaged at Malleshwaram,roads,BBMP Roads,Medium,In Progress,Pothole,0.493969907,12-2025-04,,,Cairo,Heliopolis,Call Center
54,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,High,Closed,Road Damage,0.542800926,04-2023-19,4/26/2023,2,Giza,Haram,Call Center
55,Road surface damaged at Malleshwaram,roads,BBMP Roads,Medium,Closed,Pothole,0.214456019,05-2025-26,5/27/2025,5,Cairo,Nasr City,Website
56,Multiple cracks on road at Malleshwaram,roads,BBMP Roads,High,Closed,Pothole,0.041377315,02-2025-17,2/20/2025,4,Cairo,Heliopolis,Call Center
57,Multiple cracks on road at Yelahanka,roads,BBMP Roads,High,Pending,Pothole,0.964456019,07-2023-31,,,Giza,Dokki,Mobile App
58,Multiple cracks on road at Indiranagar,roads,BBMP Roads,Medium,Closed,Pothole,0.678252315,04-2024-22,4/24/2024,5,Cairo,Maadi,Call Center
59,Pothole near bus stop at Malleshwaram,roads,BBMP Roads,High,Closed,Road Damage,0.305381944,02-2025-17,2/21/2025,4,Cairo,Nasr City,Website
60,Pothole near bus stop at Malleshwaram,roads,BBMP Roads,High,Closed,Road Damage,0.322997685,04-2024-25,4/27/2024,5,Cairo,Maadi,Call Center
61,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,Closed,Pothole,0.737939815,08-2025-15,8/23/2025,2,Cairo,Heliopolis,Mobile App
62,Road surface damaged at Koramangala,roads,BBMP Roads,High,Closed,Pothole,0.157037037,03-2025-07,3/11/2025,4,Cairo,Heliopolis,Mobile App
63,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Closed,Pothole,0.444837963,04-2025-18,4/23/2025,3,Cairo,Maadi,Website
64,Road surface damaged at Yelahanka,roads,BBMP Roads,High,Closed,Road Damage,0.316805556,12-2024-20,12/28/2024,2,Giza,Dokki,Call Center
65,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.342835648,09-2024-28,10/2/2024,4,Cairo,Maadi,Call Center
66,Large pothole near Whitefield causing traffic issues,roads,BBMP Roads,Medium,Pending,Pothole,0.386087963,04-2025-11,,,Giza,Dokki,Website
67,Road surface damaged at Whitefield,roads,BBMP Roads,High,Closed,Road Damage,0.796469907,01-2023-15,1/16/2023,5,Giza,Haram,Mobile App
68,Large pothole near Koramangala causing traffic issues,roads,BBMP Roads,Medium,Pending,Pothole,0.507916667,04-2025-23,,,Giza,Mohandessin,Call Center
69,Road surface damaged at Malleshwaram,roads,BBMP Roads,Medium,Closed,Road Damage,0.643553241,02-2023-19,2/25/2023,3,Cairo,Maadi,Mobile App
70,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.420763889,03-2025-02,3/3/2025,5,Giza,Haram,Call Center
71,Pothole near bus stop at Whitefield,roads,BBMP Roads,Medium,Closed,Road Damage,0.530509259,11-2024-18,11/27/2024,1,Giza,Dokki,Mobile App
72,Road surface damaged at Malleshwaram,roads,BBMP Roads,Medium,Closed,Road Damage,0.364178241,01-2025-15,1/22/2025,2,Cairo,Nasr City,Website
73,Pothole near bus stop at MG Road,roads,BBMP Roads,Medium,Closed,Road Damage,0.130532407,02-2023-26,3/5/2023,2,Cairo,Heliopolis,Website
74,Pothole near bus stop at MG Road,roads,BBMP Roads,Medium,Pending,Road Damage,0.277835648,12-2025-14,,,Cairo,Maadi,Call Center
75,Pothole near bus stop at Malleshwaram,roads,BBMP Roads,Medium,Closed,Pothole,0.784872685,06-2025-02,6/5/2025,4,Cairo,Nasr City,Call Center
76,Road surface damaged at Yelahanka,roads,BBMP Roads,Medium,Closed,Road Damage,0.714722222,03-2024-13,3/16/2024,4,Giza,Dokki,Call Center
77,Multiple cracks on road at MG Road,roads,BBMP Roads,Medium,Closed,Pothole,0.913206019,03-2024-18,3/24/2024,3,Giza,Haram,Mobile App
78,Pothole near bus stop at Yelahanka,roads,BBMP Roads,High,Closed,Road Damage,0.791469907,02-2024-08,2/11/2024,4,Giza,Dokki,Website
79,Multiple cracks on road at Yelahanka,roads,BBMP Roads,High,Closed,Pothole,0.702581019,08-2025-16,8/24/2025,2,Cairo,Nasr City,Website
80,Large pothole near Yelahanka causing traffic issues,roads,BBMP Roads,High,Pending,Road Damage,0.759907407,09-2025-01,,,Giza,Haram,Website
81,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,Medium,Closed,Road Damage,0.637696759,01-2025-27,1/29/2025,5,Giza,Haram,Call Center
82,Multiple cracks on road at Jayanagar,roads,BBMP Roads,Medium,Closed,Pothole,0.975138889,03-2023-20,3/22/2023,5,Giza,Mohandessin,Mobile App
83,Pothole near bus stop at BTM Layout,roads,BBMP Roads,Medium,Closed,Pothole,0.67494213,02-2023-25,3/1/2023,4,Cairo,Heliopolis,Call Center
84,Road surface damaged at Koramangala,roads,BBMP Roads,High,Pending,Pothole,0.9053125,11-2024-27,,,Giza,Dokki,Call Center
85,Multiple cracks on road at Koramangala,roads,BBMP Roads,Medium,Pending,Pothole,0.044884259,08-2023-15,,,Cairo,Maadi,Website
86,Pothole near bus stop at Indiranagar,roads,BBMP Roads,Medium,Pending,Road Damage,0.253773148,09-2023-02,,,Giza,Dokki,Call Center
87,Multiple cracks on road at MG Road,roads,BBMP Roads,Medium,Closed,Road Damage,0.5184375,05-2023-30,6/2/2023,4,Cairo,Maadi,Mobile App
88,Multiple cracks on road at Whitefield,roads,BBMP Roads,High,In Progress,Pothole,0.910972222,03-2024-22,,,Giza,Haram,Website
89,Multiple cracks on road at Malleshwaram,roads,BBMP Roads,High,Closed,Pothole,0.547476852,10-2025-27,10/30/2025,4,Cairo,Maadi,Mobile App
90,Road surface damaged at Jayanagar,roads,BBMP Roads,Medium,Closed,Pothole,0.962256944,08-2023-14,8/18/2023,4,Cairo,Maadi,Mobile App
91,Large pothole near Indiranagar causing traffic issues,roads,BBMP Roads,High,In Progress,Pothole,0.300150463,09-2024-24,,,Giza,Mohandessin,Call Center
92,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,Medium,Pending,Road Damage,0.599768519,08-2024-06,,,Giza,Mohandessin,Call Center
93,Multiple cracks on road at Koramangala,roads,BBMP Roads,Medium,Closed,Road Damage,0.247407407,01-2025-24,2/1/2025,2,Cairo,Nasr City,Mobile App
94,Large pothole near Koramangala causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.930266204,08-2024-16,8/22/2024,3,Cairo,Nasr City,Call Center
95,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.475983796,02-2024-07,2/16/2024,1,Cairo,Nasr City,Call Center
96,Multiple cracks on road at MG Road,roads,BBMP Roads,Medium,Pending,Pothole,0.463819444,06-2023-15,,,Cairo,Heliopolis,Mobile App
97,Pothole near bus stop at Indiranagar,roads,BBMP Roads,Medium,Closed,Pothole,0.040671296,11-2025-24,11/28/2025,4,Cairo,Maadi,Website
98,Multiple cracks on road at Indiranagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.976365741,07-2025-13,7/16/2025,4,Giza,Haram,Website
99,Pothole near bus stop at Jayanagar,roads,BBMP Roads,High,Closed,Pothole,0.489733796,11-2024-30,12/6/2024,3,Giza,Mohandessin,Mobile App
100,Multiple cracks on road at Malleshwaram,roads,BBMP Roads,Medium,Closed,Road Damage,0.406782407,06-2023-24,6/28/2023,4,Cairo,Heliopolis,Mobile App
101,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.082581019,09-2023-01,9/7/2023,3,Giza,Haram,Call Center
102,Multiple cracks on road at Whitefield,roads,BBMP Roads,Medium,Closed,Pothole,0.281099537,01-2023-17,1/19/2023,5,Giza,Dokki,Call Center
103,Road surface damaged at Koramangala,roads,BBMP Roads,Medium,Pending,Pothole,0.116446759,07-2025-23,,,Cairo,Nasr City,Call Center
104,Road surface damaged at Indiranagar,roads,BBMP Roads,High,Closed,Pothole,0.38962963,08-2023-18,8/25/2023,2,Giza,Dokki,Call Center
105,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Closed,Road Damage,0.16587963,12-2024-24,1/1/2025,2,Giza,Dokki,Mobile App
106,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,High,Pending,Pothole,0.475925926,02-2025-07,,,Giza,Dokki,Call Center
107,Pothole near bus stop at Yelahanka,roads,BBMP Roads,High,Closed,Road Damage,0.799085648,01-2023-17,1/24/2023,2,Cairo,Nasr City,Mobile App
108,Road surface damaged at MG Road,roads,BBMP Roads,High,Closed,Road Damage,0.798252315,11-2025-30,12/5/2025,3,Cairo,Heliopolis,Website
109,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Closed,Pothole,0.304375,06-2023-28,6/29/2023,5,Cairo,Heliopolis,Mobile App
110,Pothole near bus stop at Whitefield,roads,BBMP Roads,High,Closed,Road Damage,0.472199074,12-2024-31,1/4/2025,4,Cairo,Heliopolis,Website
111,Pothole near bus stop at Indiranagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.177673611,03-2024-12,3/15/2024,4,Giza,Haram,Mobile App
112,Road surface damaged at Yelahanka,roads,BBMP Roads,High,In Progress,Road Damage,0.499027778,05-2024-04,,,Cairo,Maadi,Mobile App
113,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,In Progress,Pothole,0.355821759,05-2024-04,,,Cairo,Heliopolis,Website
114,Pothole near bus stop at MG Road,roads,BBMP Roads,High,Closed,Road Damage,0.519375,01-2025-02,1/11/2025,1,Giza,Mohandessin,Mobile App
115,Pothole near bus stop at Yelahanka,roads,BBMP Roads,Medium,Closed,Road Damage,0.600185185,09-2025-14,9/16/2025,5,Cairo,Maadi,Call Center
116,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.359768519,11-2025-28,11/30/2025,5,Giza,Dokki,Website
117,Multiple cracks on road at BTM Layout,roads,BBMP Roads,Medium,In Progress,Pothole,0.113530093,05-2025-17,,,Giza,Mohandessin,Mobile App
118,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.742731481,06-2024-01,6/3/2024,5,Cairo,Maadi,Mobile App
119,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,Closed,Road Damage,0.146446759,03-2024-18,3/19/2024,5,Cairo,Maadi,Mobile App
120,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.44931713,07-2023-11,7/16/2023,3,Giza,Dokki,Call Center
121,Pothole near bus stop at Whitefield,roads,BBMP Roads,High,Pending,Pothole,0.521423611,09-2025-22,,,Cairo,Maadi,Call Center
122,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,High,Closed,Road Damage,0.0071875,09-2023-06,9/15/2023,1,Cairo,Nasr City,Call Center
123,Pothole near bus stop at Whitefield,roads,BBMP Roads,High,Closed,Road Damage,0.007326389,06-2023-09,6/18/2023,1,Giza,Haram,Call Center
124,Road surface damaged at Jayanagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.293912037,03-2025-08,3/15/2025,2,Cairo,Heliopolis,Call Center
125,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,Medium,Pending,Pothole,0.385798611,07-2023-01,,,Cairo,Nasr City,Mobile App
126,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,Medium,In Progress,Road Damage,0.023912037,10-2024-18,,,Cairo,Maadi,Call Center
127,Large pothole near Yelahanka causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.597766204,04-2024-04,4/9/2024,3,Giza,Mohandessin,Mobile App
128,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,Medium,Pending,Pothole,0.204861111,01-2023-06,,,Cairo,Maadi,Mobile App
129,Pothole near bus stop at Yelahanka,roads,BBMP Roads,High,Pending,Pothole,0.062037037,01-2023-17,,,Giza,Dokki,Mobile App
130,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,High,In Progress,Road Damage,0.35056713,10-2023-23,,,Cairo,Nasr City,Mobile App
131,Multiple cracks on road at Indiranagar,roads,BBMP Roads,High,In Progress,Pothole,0.913078704,04-2023-12,,,Giza,Mohandessin,Website
132,Road surface damaged at Whitefield,roads,BBMP Roads,High,Pending,Road Damage,0.354189815,11-2025-20,,,Giza,Mohandessin,Mobile App
133,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,High,Closed,Road Damage,0.653113426,09-2024-30,10/2/2024,5,Cairo,Heliopolis,Call Center
134,Multiple cracks on road at Koramangala,roads,BBMP Roads,Medium,Pending,Pothole,0.234039352,04-2025-17,,,Cairo,Heliopolis,Call Center
135,Multiple cracks on road at Malleshwaram,roads,BBMP Roads,High,Closed,Road Damage,0.314895833,01-2024-14,1/19/2024,3,Giza,Haram,Mobile App
136,Large pothole near Jayanagar causing traffic issues,roads,BBMP Roads,Medium,Pending,Road Damage,0.093900463,05-2025-24,,,Giza,Dokki,Call Center
137,Multiple cracks on road at Whitefield,roads,BBMP Roads,Medium,Closed,Road Damage,0.997071759,08-2024-10,8/19/2024,1,Giza,Dokki,Mobile App
138,Large pothole near Koramangala causing traffic issues,roads,BBMP Roads,High,Pending,Pothole,0.75380787,06-2023-18,,,Cairo,Heliopolis,Call Center
139,Multiple cracks on road at Yelahanka,roads,BBMP Roads,High,Closed,Pothole,0.747314815,08-2025-18,8/20/2025,5,Giza,Mohandessin,Mobile App
140,Pothole near bus stop at Malleshwaram,roads,BBMP Roads,Medium,In Progress,Road Damage,0.367476852,10-2025-29,,,Giza,Dokki,Call Center
141,Multiple cracks on road at Malleshwaram,roads,BBMP Roads,High,Pending,Pothole,0.778194444,04-2024-23,,,Giza,Dokki,Call Center
142,Road surface damaged at MG Road,roads,BBMP Roads,Medium,Closed,Pothole,0.151875,12-2024-19,12/24/2024,3,Giza,Mohandessin,Mobile App
143,Pothole near bus stop at BTM Layout,roads,BBMP Roads,Medium,Pending,Road Damage,0.418090278,06-2023-26,,,Giza,Mohandessin,Mobile App
144,Large pothole near Whitefield causing traffic issues,roads,BBMP Roads,High,Closed,Road Damage,0.182627315,01-2023-09,1/12/2023,4,Giza,Haram,Mobile App
145,Large pothole near Whitefield causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.035706019,08-2025-22,8/28/2025,3,Giza,Haram,Mobile App
146,Large pothole near Koramangala causing traffic issues,roads,BBMP Roads,High,Pending,Road Damage,0.068101852,05-2025-14,,,Cairo,Nasr City,Website
147,Road surface damaged at BTM Layout,roads,BBMP Roads,Medium,Closed,Road Damage,0.485347222,07-2024-27,7/29/2024,5,Cairo,Nasr City,Website
148,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.981550926,12-2025-21,12/24/2025,4,Cairo,Nasr City,Website
149,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,Medium,Pending,Pothole,0.759375,11-2024-25,,,Giza,Dokki,Website
150,Multiple cracks on road at Malleshwaram,roads,BBMP Roads,High,In Progress,Road Damage,0.252662037,06-2024-05,,,Cairo,Nasr City,Mobile App
151,Multiple cracks on road at BTM Layout,roads,BBMP Roads,High,In Progress,Pothole,0.417928241,05-2023-12,,,Giza,Dokki,Mobile App
152,Pothole near bus stop at Whitefield,roads,BBMP Roads,Medium,Closed,Pothole,0.120381944,06-2024-02,6/4/2024,5,Cairo,Heliopolis,Call Center
153,Road surface damaged at Yelahanka,roads,BBMP Roads,Medium,Closed,Road Damage,0.976018519,09-2023-04,9/7/2023,4,Giza,Mohandessin,Mobile App
154,Road surface damaged at BTM Layout,roads,BBMP Roads,High,Closed,Road Damage,0.012303241,11-2025-30,12/5/2025,3,Giza,Dokki,Website
155,Multiple cracks on road at Jayanagar,roads,BBMP Roads,High,In Progress,Road Damage,0.216979167,08-2023-19,,,Giza,Mohandessin,Website
156,Large pothole near Yelahanka causing traffic issues,roads,BBMP Roads,High,Closed,Road Damage,0.212928241,07-2023-05,7/8/2023,4,Cairo,Maadi,Mobile App
157,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,High,In Progress,Road Damage,0.910486111,07-2024-04,,,Cairo,Heliopolis,Mobile App
158,Large pothole near Yelahanka causing traffic issues,roads,BBMP Roads,Medium,Closed,Road Damage,0.123946759,06-2025-21,6/27/2025,3,Giza,Mohandessin,Mobile App
159,Pothole near bus stop at Whitefield,roads,BBMP Roads,High,Closed,Road Damage,0.483368056,09-2023-01,9/6/2023,3,Giza,Mohandessin,Mobile App
160,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,Medium,Pending,Road Damage,0.813587963,10-2023-12,,,Cairo,Maadi,Mobile App
161,Multiple cracks on road at Whitefield,roads,BBMP Roads,Medium,Closed,Pothole,0.661990741,09-2023-24,9/30/2023,3,Giza,Haram,Mobile App
162,Multiple cracks on road at Indiranagar,roads,BBMP Roads,Medium,Closed,Pothole,0.447488426,05-2025-18,5/23/2025,3,Cairo,Maadi,Mobile App
163,Pothole near bus stop at BTM Layout,roads,BBMP Roads,High,Pending,Pothole,0.931597222,03-2025-05,,,Cairo,Heliopolis,Mobile App
164,Road surface damaged at BTM Layout,roads,BBMP Roads,Medium,Closed,Road Damage,0.49443287,09-2024-08,9/10/2024,5,Giza,Haram,Website
165,Pothole near bus stop at Yelahanka,roads,BBMP Roads,Medium,Closed,Road Damage,0.346296296,02-2023-19,2/26/2023,2,Cairo,Nasr City,Mobile App
166,Pothole near bus stop at MG Road,roads,BBMP Roads,Medium,Pending,Pothole,0.742777778,07-2025-19,,,Giza,Haram,Call Center
167,Road surface damaged at Indiranagar,roads,BBMP Roads,High,Pending,Road Damage,0.285532407,06-2023-16,,,Cairo,Heliopolis,Website
168,Pothole near bus stop at Indiranagar,roads,BBMP Roads,High,Pending,Road Damage,0.123483796,02-2024-05,,,Cairo,Heliopolis,Call Center
169,Road surface damaged at Jayanagar,roads,BBMP Roads,High,In Progress,Pothole,0.302048611,10-2023-19,,,Giza,Haram,Mobile App
170,Road surface damaged at Koramangala,roads,BBMP Roads,Medium,Closed,Road Damage,0.625601852,02-2023-14,2/23/2023,1,Cairo,Maadi,Mobile App
171,Pothole near bus stop at Yelahanka,roads,BBMP Roads,Medium,Closed,Pothole,0.933055556,07-2024-11,7/20/2024,1,Cairo,Heliopolis,Call Center
172,Road surface damaged at Koramangala,roads,BBMP Roads,High,Pending,Road Damage,0.869583333,07-2023-11,,,Giza,Haram,Website
173,Large pothole near Malleshwaram causing traffic issues,roads,BBMP Roads,Medium,In Progress,Pothole,0.593622685,02-2023-06,,,Cairo,Maadi,Mobile App
174,Multiple cracks on road at Jayanagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.488321759,06-2023-15,6/18/2023,4,Cairo,Nasr City,Mobile App
175,Road surface damaged at Malleshwaram,roads,BBMP Roads,High,Pending,Pothole,0.854918981,08-2025-10,,,Cairo,Maadi,Website
176,Road surface damaged at MG Road,roads,BBMP Roads,High,In Progress,Road Damage,0.021643519,02-2023-01,,,Giza,Dokki,Website
177,Pothole near bus stop at Jayanagar,roads,BBMP Roads,Medium,Closed,Pothole,0.546076389,09-2025-15,9/16/2025,5,Cairo,Heliopolis,Mobile App
178,Pothole near bus stop at Koramangala,roads,BBMP Roads,Medium,Closed,Road Damage,0.47849537,02-2024-17,2/20/2024,4,Cairo,Heliopolis,Mobile App
179,Road surface damaged at Whitefield,roads,BBMP Roads,Medium,Closed,Pothole,0.982800926,01-2024-22,1/28/2024,3,Cairo,Nasr City,Call Center
