complaint_id	text_description	issue_type	department	priority	status	created_time	subcategory	Created_date	closed_date	satisfaction_score	city	district	submission_channel	max_resolution_days
38	Water contamination issue at Yelahanka	water	BWSSB	Critical	Pending	0.4219328703703703	Leakage	9/29/2024			Giza	Mohandessin	Call Center	1
39	Water leakage reported at MG Road	water	BWSSB	Critical	Closed	0.2637615740740741	Low Pressure	5/18/2024	5/24/2024	3.0	Cairo	Heliopolis	Call Center	1
40	Broken water pipe flooding street at BTM Layout	water	BWSSB	High	Closed	0.1691550925925926	Low Pressure	6/25/2024	7/4/2024	1.0	Giza	Mohandessin	Mobile App	3
41	No water supply in Yelahanka since 2 days	water	BWSSB	Critical	Closed	0.8182175925925926	Leakage	12/17/2023	12/20/2023	4.0	Giza	Dokki	Call Center	1
42	No water supply in Yelahanka since 1 days	water	BWSSB	High	Pending	0.6045486111111111	No Water	1/7/2024			Giza	Haram	Call Center	3
43	Water leakage reported at Yelahanka	water	BWSSB	High	Pending	0.8592361111111111	Leakage	4/2/2025			Giza	Haram	Call Center	3
44	Water contamination issue at MG Road	water	BWSSB	Critical	Closed	0.9713657407407408	No Water	7/22/2024	7/28/2024	3.0	Giza	Mohandessin	Call Center	1
45	Water leakage reported at Yelahanka	water	BWSSB	High	Pending	0.3369097222222222	No Water	3/11/2023			Cairo	Heliopolis	Website	3
46	Water leakage reported at BTM Layout	water	BWSSB	Critical	Closed	0.7060648148148149	Leakage	1/10/2023	1/11/2023	5.0	Giza	Haram	Mobile App	1
47	Water contamination issue at Koramangala	water	BWSSB	High	In Progress	0.0294328703703703	Leakage	10/22/2025			Cairo	Nasr City	Call Center	3
48	Broken water pipe flooding street at BTM Layout	water	BWSSB	Critical	Pending	0.2117476851851852	Leakage	12/16/2024			Cairo	Nasr City	Call Center	1
49	No water supply in Whitefield since 1 days	water	BWSSB	Critical	Pending	0.5287268518518519	Low Pressure	7/15/2024			Cairo	Heliopolis	Website	1
50	Water contamination issue at Indiranagar	water	BWSSB	High	Closed	0.8525810185185185	No Water	7/24/2023	7/25/2023	5.0	Cairo	Nasr City	Call Center	3
51	Water leakage reported at MG Road	water	BWSSB	High	Closed	0.0601504629629629	No Water	1/2/2024	1/4/2024	5.0	Giza	Haram	Call Center	3
52	Water contamination issue at Malleshwaram	water	BWSSB	High	In Progress	0.674675925925926	Leakage	9/27/2023			Cairo	Maadi	Website	3
53	Water contamination issue at Malleshwaram	water	BWSSB	Critical	In Progress	0.4980671296296296	Low Pressure	5/17/2024			Giza	Dokki	Website	1
54	No water supply in BTM Layout since 6 days	water	BWSSB	Critical	In Progress	0.4180671296296296	Leakage	11/12/2024			Cairo	Nasr City	Website	1
55	Broken water pipe flooding street at Indiranagar	water	BWSSB	High	Closed	0.7051851851851851	No Water	10/9/2023	10/15/2023	3.0	Cairo	Maadi	Website	3
56	Water leakage reported at Malleshwaram	water	BWSSB	Critical	Closed	0.6934953703703703	Low Pressure	7/28/2023	8/6/2023	1.0	Cairo	Maadi	Website	1
57	Broken water pipe flooding street at Malleshwaram	water	BWSSB	Critical	Pending	0.2747453703703704	No Water	11/9/2023			Giza	Haram	Call Center	1
58	Water leakage reported at MG Road	water	BWSSB	High	In Progress	0.261886574074074	Low Pressure	4/11/2025			Giza	Haram	Mobile App	3
59	Water leakage reported at BTM Layout	water	BWSSB	High	Closed	0.5729861111111111	No Water	3/14/2024	3/21/2024	2.0	Giza	Mohandessin	Mobile App	3
60	Water contamination issue at BTM Layout	water	BWSSB	High	Pending	0.145949074074074	Leakage	12/10/2024			Giza	Mohandessin	Mobile App	3
61	Water contamination issue at Malleshwaram	water	BWSSB	Critical	In Progress	0.7633449074074075	Low Pressure	5/27/2024			Cairo	Heliopolis	Website	1
62	Water leakage reported at Whitefield	water	BWSSB	Critical	In Progress	0.2297453703703703	No Water	11/13/2023			Giza	Mohandessin	Mobile App	1
63	No water supply in MG Road since 7 days	water	BWSSB	Critical	Closed	0.4158564814814814	Leakage	12/2/2023	12/4/2023	5.0	Cairo	Maadi	Mobile App	1
64	Broken water pipe flooding street at BTM Layout	water	BWSSB	Critical	Closed	0.2393634259259259	No Water	11/19/2024	11/25/2024	3.0	Cairo	Maadi	Website	1
65	Water leakage reported at Whitefield	water	BWSSB	High	Closed	0.3243287037037037	No Water	11/29/2023	11/30/2023	5.0	Giza	Mohandessin	Call Center	3
66	Broken water pipe flooding street at Yelahanka	water	BWSSB	High	Closed	0.5043402777777778	Leakage	11/18/2025	11/24/2025	3.0	Cairo	Maadi	Call Center	3
67	Broken water pipe flooding street at Whitefield	water	BWSSB	High	Closed	0.6710532407407407	No Water	7/23/2025	7/27/2025	4.0	Cairo	Nasr City	Mobile App	3
68	Broken water pipe flooding street at BTM Layout	water	BWSSB	Critical	Pending	0.3955092592592593	Leakage	3/8/2023			Cairo	Nasr City	Call Center	1
69	Water leakage reported at Jayanagar	water	BWSSB	High	Closed	0.7200462962962964	Low Pressure	3/10/2025	3/18/2025	2.0	Giza	Haram	Mobile App	3
70	No water supply in Yelahanka since 9 days	water	BWSSB	Critical	Closed	0.8187615740740741	Low Pressure	1/13/2024	1/20/2024	2.0	Giza	Dokki	Mobile App	1
71	Water contamination issue at Jayanagar	water	BWSSB	High	Closed	0.1534259259259259	Low Pressure	9/28/2024	10/7/2024	1.0	Cairo	Maadi	Mobile App	3
72	Water contamination issue at Jayanagar	water	BWSSB	High	Closed	0.727175925925926	No Water	10/16/2024	10/24/2024	2.0	Giza	Mohandessin	Call Center	3
73	No water supply in Koramangala since 6 days	water	BWSSB	High	Closed	0.4834027777777778	Leakage	10/16/2023	10/21/2023	3.0	Giza	Haram	Call Center	3
74	No water supply in Yelahanka since 4 days	water	BWSSB	Critical	Closed	0.704224537037037	No Water	6/23/2025	6/30/2025	2.0	Giza	Haram	Mobile App	1
75	Water contamination issue at Jayanagar	water	BWSSB	Critical	Closed	0.1283796296296296	No Water	6/23/2025	6/28/2025	3.0	Cairo	Heliopolis	Website	1
76	No water supply in MG Road since 10 days	water	BWSSB	Critical	Closed	0.2856944444444444	Leakage	7/15/2025	7/24/2025	1.0	Giza	Haram	Mobile App	1
77	Water contamination issue at Whitefield	water	BWSSB	Critical	Pending	0.8502777777777778	No Water	4/28/2023			Cairo	Maadi	Website	1
78	No water supply in Koramangala since 2 days	water	BWSSB	Critical	Closed	0.916886574074074	Low Pressure	3/7/2023	3/9/2023	5.0	Cairo	Maadi	Website	1
79	No water supply in Jayanagar since 3 days	water	BWSSB	Critical	Closed	0.1167939814814814	No Water	2/20/2025	2/27/2025	2.0	Giza	Mohandessin	Mobile App	1
80	Water leakage reported at Koramangala	water	BWSSB	High	Closed	0.5608101851851852	Low Pressure	9/10/2023	9/11/2023	5.0	Cairo	Nasr City	Call Center	3
81	No water supply in Yelahanka since 2 days	water	BWSSB	Critical	Pending	0.8477199074074074	No Water	3/14/2024			Giza	Mohandessin	Mobile App	1
82	Water contamination issue at Jayanagar	water	BWSSB	High	Pending	0.6839699074074074	No Water	6/17/2025			Giza	Dokki	Call Center	3
83	Water contamination issue at Whitefield	water	BWSSB	Critical	In Progress	0.446412037037037	No Water	9/14/2023			Cairo	Nasr City	Call Center	1
84	Water contamination issue at Whitefield	water	BWSSB	High	Pending	0.3926388888888888	No Water	11/26/2024			Giza	Mohandessin	Call Center	3
85	Broken water pipe flooding street at Koramangala	water	BWSSB	Critical	Closed	0.9113773148148148	No Water	4/25/2023	5/2/2023	2.0	Cairo	Nasr City	Website	1
86	Water contamination issue at Koramangala	water	BWSSB	Critical	Pending	0.7570717592592593	No Water	12/17/2024			Cairo	Heliopolis	Call Center	1
87	Water leakage reported at Jayanagar	water	BWSSB	High	Pending	0.6369444444444444	No Water	8/1/2025			Cairo	Maadi	Website	3
88	Broken water pipe flooding street at Indiranagar	water	BWSSB	Critical	Closed	0.5891898148148148	Leakage	8/3/2023	8/4/2023	5.0	Cairo	Nasr City	Call Center	1
89	Broken water pipe flooding street at Yelahanka	water	BWSSB	High	Pending	0.3285069444444444	Leakage	1/11/2024			Cairo	Nasr City	Mobile App	3
90	Water leakage reported at Malleshwaram	water	BWSSB	Critical	Closed	0.3716203703703704	Low Pressure	8/21/2023	8/27/2023	3.0	Cairo	Nasr City	Website	1
91	No water supply in MG Road since 6 days	water	BWSSB	High	In Progress	0.1097569444444444	No Water	8/21/2025			Cairo	Nasr City	Mobile App	3
92	Water leakage reported at Whitefield	water	BWSSB	Critical	In Progress	0.1757175925925926	Leakage	3/17/2024			Cairo	Maadi	Website	1
93	No water supply in Koramangala since 7 days	water	BWSSB	Critical	In Progress	0.3507638888888889	Low Pressure	1/24/2024			Cairo	Maadi	Mobile App	1
94	Water leakage reported at Jayanagar	water	BWSSB	Critical	Closed	0.8434953703703704	Leakage	4/4/2024	4/13/2024	1.0	Cairo	Heliopolis	Website	1
95	Broken water pipe flooding street at Indiranagar	water	BWSSB	High	Closed	0.5105092592592593	No Water	10/12/2023	10/15/2023	4.0	Cairo	Maadi	Website	3
96	Water contamination issue at Indiranagar	water	BWSSB	Critical	Pending	0.7936458333333334	No Water	1/8/2023			Giza	Haram	Website	1
97	No water supply in Whitefield since 3 days	water	BWSSB	High	Closed	0.9086111111111111	Low Pressure	1/1/2025	1/7/2025	3.0	Cairo	Heliopolis	Mobile App	3
98	Water leakage reported at Jayanagar	water	BWSSB	High	Pending	0.1000810185185185	Leakage	7/30/2023			Giza	Dokki	Call Center	3
99	Broken water pipe flooding street at Yelahanka	water	BWSSB	Critical	Closed	0.4748842592592592	Leakage	9/14/2024	9/15/2024	5.0	Cairo	Maadi	Website	1
100	Water contamination issue at MG Road	water	BWSSB	High	Closed	0.6842824074074074	No Water	6/24/2023	6/29/2023	3.0	Cairo	Nasr City	Call Center	3
101	Broken water pipe flooding street at MG Road	water	BWSSB	High	Closed	0.5516203703703704	Low Pressure	9/24/2025	9/26/2025	5.0	Cairo	Heliopolis	Call Center	3
102	Water contamination issue at Indiranagar	water	BWSSB	Critical	Pending	0.7132523148148148	No Water	10/14/2025			Giza	Haram	Call Center	1
103	Broken water pipe flooding street at Yelahanka	water	BWSSB	Critical	Closed	0.3147916666666667	Leakage	11/28/2023	12/1/2023	4.0	Cairo	Nasr City	Call Center	1
104	Broken water pipe flooding street at Yelahanka	water	BWSSB	Critical	Closed	0.7287847222222222	No Water	5/22/2025	5/27/2025	3.0	Cairo	Heliopolis	Mobile App	1
105	No water supply in Indiranagar since 5 days	water	BWSSB	Critical	Closed	0.3623958333333333	Low Pressure	2/22/2024	2/23/2024	5.0	Giza	Dokki	Call Center	1
106	Water leakage reported at Koramangala	water	BWSSB	Critical	Closed	0.5146180555555555	No Water	7/16/2024	7/23/2024	2.0	Cairo	Heliopolis	Call Center	1
107	Water leakage reported at Jayanagar	water	BWSSB	High	Pending	0.035949074074074	Leakage	5/21/2025			Giza	Dokki	Mobile App	3
108	Broken water pipe flooding street at Koramangala	water	BWSSB	Critical	Closed	0.3959837962962963	Low Pressure	12/27/2025	12/31/2025	4.0	Cairo	Heliopolis	Website	1
109	Water leakage reported at Jayanagar	water	BWSSB	Critical	Closed	0.2302893518518518	No Water	1/15/2023	1/22/2023	2.0	Cairo	Maadi	Mobile App	1
110	No water supply in BTM Layout since 7 days	water	BWSSB	Critical	Closed	0.1657754629629629	Leakage	6/1/2024	6/4/2024	4.0	Giza	Mohandessin	Mobile App	1
111	Broken water pipe flooding street at MG Road	water	BWSSB	Critical	Closed	0.7329629629629629	Leakage	5/18/2023	5/25/2023	2.0	Giza	Mohandessin	Website	1
112	Water contamination issue at Koramangala	water	BWSSB	High	Pending	0.7413194444444444	No Water	6/9/2023			Giza	Mohandessin	Mobile App	3
113	Water contamination issue at BTM Layout	water	BWSSB	High	Closed	0.0379861111111111	Low Pressure	6/12/2025	6/16/2025	4.0	Cairo	Heliopolis	Mobile App	3
114	Water leakage reported at Koramangala	water	BWSSB	High	Pending	0.9243171296296296	Leakage	9/12/2024			Giza	Dokki	Call Center	3
115	Water leakage reported at BTM Layout	water	BWSSB	High	Pending	0.1222453703703703	Low Pressure	3/2/2024			Giza	Dokki	Call Center	3
116	Water leakage reported at BTM Layout	water	BWSSB	Critical	In Progress	0.2500694444444444	No Water	2/28/2023			Cairo	Heliopolis	Call Center	1
117	Water contamination issue at Yelahanka	water	BWSSB	Critical	Closed	0.6375462962962963	Low Pressure	3/15/2024	3/20/2024	3.0	Cairo	Heliopolis	Mobile App	1
118	Water leakage reported at Koramangala	water	BWSSB	Critical	In Progress	0.7243981481481482	No Water	12/30/2023			Cairo	Heliopolis	Mobile App	1
119	Broken water pipe flooding street at MG Road	water	BWSSB	High	Closed	0.7956018518518518	Leakage	8/2/2024	8/5/2024	4.0	Giza	Mohandessin	Mobile App	3
120	Broken water pipe flooding street at Whitefield	water	BWSSB	High	Closed	0.5471064814814814	Low Pressure	2/10/2023	2/11/2023	5.0	Cairo	Nasr City	Website	3
121	Broken water pipe flooding street at Whitefield	water	BWSSB	Critical	In Progress	0.2726388888888889	Low Pressure	9/18/2025			Giza	Haram	Mobile App	1
122	Broken water pipe flooding street at Whitefield	water	BWSSB	High	Closed	0.8975347222222222	Low Pressure	12/10/2025	12/18/2025	2.0	Cairo	Maadi	Website	3
123	Broken water pipe flooding street at Koramangala	water	BWSSB	Critical	Closed	0.4434722222222222	No Water	9/17/2025	9/19/2025	5.0	Cairo	Nasr City	Call Center	1
124	Broken water pipe flooding street at Whitefield	water	BWSSB	High	Closed	0.5040740740740741	No Water	1/10/2025	1/17/2025	2.0	Giza	Dokki	Mobile App	3
125	No water supply in Malleshwaram since 6 days	water	BWSSB	High	In Progress	0.9894907407407408	Low Pressure	1/3/2024			Cairo	Maadi	Mobile App	3
126	Water contamination issue at Malleshwaram	water	BWSSB	High	Closed	0.6782523148148148	No Water	1/16/2025	1/24/2025	2.0	Cairo	Heliopolis	Call Center	3
127	Broken water pipe flooding street at Jayanagar	water	BWSSB	Critical	In Progress	0.0520949074074074	Low Pressure	8/22/2024			Cairo	Nasr City	Mobile App	1
128	Water leakage reported at Indiranagar	water	BWSSB	High	Closed	0.6495717592592593	Low Pressure	5/5/2024	5/9/2024	4.0	Giza	Mohandessin	Mobile App	3
129	Broken water pipe flooding street at BTM Layout	water	BWSSB	High	Pending	0.6326851851851852	Leakage	5/4/2024			Cairo	Nasr City	Website	3
130	No water supply in Jayanagar since 7 days	water	BWSSB	Critical	Closed	0.974837962962963	No Water	7/30/2024	8/1/2024	5.0	Cairo	Maadi	Call Center	1
131	Broken water pipe flooding street at Indiranagar	water	BWSSB	High	Closed	0.1310879629629629	No Water	1/20/2025	1/25/2025	3.0	Giza	Dokki	Website	3
132	Water leakage reported at BTM Layout	water	BWSSB	High	Closed	0.1161921296296296	Low Pressure	7/26/2025	7/31/2025	3.0	Giza	Dokki	Call Center	3
133	Broken water pipe flooding street at MG Road	water	BWSSB	Critical	Closed	0.779050925925926	Leakage	3/16/2025	3/19/2025	4.0	Cairo	Maadi	Call Center	1
134	Water leakage reported at MG Road	water	BWSSB	High	In Progress	0.6156365740740741	No Water	2/16/2025			Giza	Dokki	Website	3
135	Water contamination issue at MG Road	water	BWSSB	Critical	Closed	0.5237615740740741	Low Pressure	7/21/2024	7/30/2024	1.0	Cairo	Heliopolis	Mobile App	1
136	Water contamination issue at Indiranagar	water	BWSSB	High	Closed	0.3462847222222222	Low Pressure	3/14/2025	3/20/2025	3.0	Giza	Dokki	Call Center	3
137	Broken water pipe flooding street at Yelahanka	water	BWSSB	Critical	Pending	0.8494907407407407	Leakage	6/25/2023			Giza	Dokki	Call Center	1
138	Water contamination issue at Malleshwaram	water	BWSSB	High	In Progress	0.6257175925925926	No Water	11/4/2023			Cairo	Nasr City	Call Center	3
139	No water supply in MG Road since 1 days	water	BWSSB	Critical	Pending	0.8259027777777778	No Water	3/23/2024			Cairo	Heliopolis	Website	1
140	Water contamination issue at Jayanagar	water	BWSSB	High	Pending	0.7122569444444444	No Water	9/8/2023			Cairo	Heliopolis	Call Center	3
141	Water contamination issue at Jayanagar	water	BWSSB	High	Closed	0.7899768518518518	Leakage	9/22/2025	9/30/2025	2.0	Cairo	Maadi	Mobile App	3
142	Water contamination issue at BTM Layout	water	BWSSB	High	In Progress	0.5664699074074074	No Water	6/5/2023			Cairo	Maadi	Website	3
143	Water leakage reported at Jayanagar	water	BWSSB	High	Closed	0.8571527777777778	Low Pressure	4/19/2024	4/23/2024	4.0	Cairo	Nasr City	Mobile App	3
144	No water supply in Koramangala since 8 days	water	BWSSB	Critical	Pending	0.4853009259259259	Leakage	2/18/2025			Cairo	Maadi	Mobile App	1
145	No water supply in Koramangala since 10 days	water	BWSSB	High	In Progress	0.3773148148148148	Low Pressure	9/9/2025			Cairo	Heliopolis	Website	3
146	Water contamination issue at BTM Layout	water	BWSSB	High	In Progress	0.8131712962962963	Leakage	1/1/2025			Giza	Mohandessin	Mobile App	3
147	Water leakage reported at Koramangala	water	BWSSB	High	Closed	0.778900462962963	Low Pressure	7/12/2025	7/15/2025	4.0	Giza	Mohandessin	Call Center	3
148	Water contamination issue at Whitefield	water	BWSSB	High	Closed	0.2828472222222222	Leakage	9/16/2024	9/22/2024	3.0	Giza	Dokki	Call Center	3
149	No water supply in Yelahanka since 10 days	water	BWSSB	High	Closed	0.4712962962962962	Leakage	6/7/2023	6/12/2023	3.0	Cairo	Nasr City	Call Center	3
150	No water supply in BTM Layout since 10 days	water	BWSSB	Critical	Closed	0.1890972222222222	Low Pressure	12/4/2025	12/6/2025	5.0	Giza	Mohandessin	Call Center	1
151	Water leakage reported at Yelahanka	water	BWSSB	High	Pending	0.5433449074074074	Leakage	3/2/2024			Cairo	Maadi	Call Center	3
152	No water supply in Indiranagar since 3 days	water	BWSSB	High	Closed	0.4158680555555555	Leakage	12/31/2024	1/8/2025	2.0	Cairo	Maadi	Website	3
153	Water contamination issue at Jayanagar	water	BWSSB	High	Pending	0.7988078703703704	Leakage	8/21/2023			Cairo	Maadi	Mobile App	3
154	Water leakage reported at Koramangala	water	BWSSB	High	Pending	0.6279050925925926	Low Pressure	3/22/2024			Giza	Dokki	Website	3
155	Water contamination issue at Indiranagar	water	BWSSB	Critical	Closed	0.5850115740740741	No Water	10/18/2024	10/19/2024	5.0	Giza	Dokki	Website	1
156	Broken water pipe flooding street at MG Road	water	BWSSB	High	In Progress	0.4465277777777778	Leakage	11/25/2025			Cairo	Maadi	Call Center	3
157	Water leakage reported at Malleshwaram	water	BWSSB	High	Closed	0.8714467592592593	Low Pressure	10/29/2023	11/1/2023	4.0	Giza	Haram	Call Center	3
158	Water contamination issue at MG Road	water	BWSSB	Critical	Closed	0.9559143518518518	Low Pressure	12/2/2024	12/4/2024	5.0	Cairo	Nasr City	Mobile App	1
159	No water supply in Jayanagar since 5 days	water	BWSSB	Critical	Closed	0.3606944444444444	Low Pressure	2/1/2023	2/8/2023	2.0	Cairo	Heliopolis	Mobile App	1
160	Broken water pipe flooding street at Koramangala	water	BWSSB	High	Pending	0.9679513888888888	Low Pressure	10/25/2024			Cairo	Nasr City	Call Center	3
161	Water leakage reported at Indiranagar	water	BWSSB	High	In Progress	0.7817824074074075	No Water	8/13/2024			Cairo	Heliopolis	Website	3
162	Broken water pipe flooding street at Malleshwaram	water	BWSSB	Critical	Closed	0.7040277777777778	Leakage	4/26/2025	4/28/2025	5.0	Cairo	Heliopolis	Website	1
163	No water supply in Jayanagar since 3 days	water	BWSSB	Critical	Closed	0.0358912037037037	Low Pressure	8/3/2025	8/10/2025	2.0	Cairo	Nasr City	Website	1
164	Broken water pipe flooding street at BTM Layout	water	BWSSB	High	Closed	0.1202199074074074	No Water	5/7/2023	5/9/2023	5.0	Giza	Haram	Call Center	3
165	Water leakage reported at Koramangala	water	BWSSB	High	Closed	0.6217708333333334	No Water	8/9/2025	8/11/2025	5.0	Cairo	Heliopolis	Mobile App	3
166	Water leakage reported at Yelahanka	water	BWSSB	Critical	In Progress	0.8129398148148148	Low Pressure	4/20/2025			Giza	Dokki	Website	1
167	Broken water pipe flooding street at Malleshwaram	water	BWSSB	Critical	Pending	0.8137037037037037	Leakage	6/9/2025			Giza	Haram	Call Center	1
168	No water supply in Koramangala since 8 days	water	BWSSB	High	Pending	0.1910416666666666	Leakage	11/22/2024			Cairo	Heliopolis	Mobile App	3
169	Water leakage reported at MG Road	water	BWSSB	High	Closed	0.7707407407407407	Low Pressure	5/8/2025	5/13/2025	3.0	Cairo	Nasr City	Mobile App	3
170	Broken water pipe flooding street at BTM Layout	water	BWSSB	Critical	Closed	0.5800231481481481	Leakage	2/17/2024	2/23/2024	3.0	Cairo	Heliopolis	Call Center	1
171	Water leakage reported at Malleshwaram	water	BWSSB	Critical	Closed	0.1583912037037037	Leakage	5/2/2025	5/10/2025	2.0	Giza	Haram	Mobile App	1
172	Water contamination issue at Malleshwaram	water	BWSSB	High	Closed	0.4634606481481481	Leakage	7/30/2023	8/6/2023	2.0	Giza	Dokki	Call Center	3
173	Broken water pipe flooding street at BTM Layout	water	BWSSB	Critical	In Progress	0.574675925925926	Low Pressure	2/12/2025			Cairo	Maadi	Website	1
174	Water leakage reported at Yelahanka	water	BWSSB	High	Closed	0.0706828703703703	Leakage	10/17/2024	10/20/2024	4.0	Cairo	Maadi	Mobile App	3
175	No water supply in Whitefield since 8 days	water	BWSSB	High	Pending	0.5813194444444445	Leakage	6/3/2025			Giza	Haram	Mobile App	3
176	Water leakage reported at Whitefield	water	BWSSB	Critical	Closed	0.5562037037037038	No Water	7/1/2023	7/4/2023	4.0	Cairo	Maadi	Call Center	1
177	Water leakage reported at MG Road	water	BWSSB	High	Pending	0.7390625	Leakage	5/19/2025			Cairo	Maadi	Mobile App	3
178	Water contamination issue at Malleshwaram	water	BWSSB	High	In Progress	0.7904745370370371	Low Pressure	12/2/2024			Cairo	Nasr City	Website	3
179	Water contamination issue at BTM Layout	water	BWSSB	High	Closed	0.4881597222222222	No Water	8/15/2024	8/22/2024	2.0	Giza	Haram	Mobile App	3
